Temperature,Humidity,Moisture,Status
32.1,45.6,2367,Wet
32.2,45.4,1399,Wet
32.5,45.0,1648,Wet
32.5,44.5,1104,Wet
32.6,46.7,1951,Wet
31.4,52.0,4085,Dry
30.9,48.3,4095,Dry
35.6,33.9,1623,Wet
32.4,42.5,3553,Dry
31.6,47.5,1588,Wet
31.8,47.5,1256,Wet
31.7,46.7,1569,Wet
31.7,48.0,1088,Wet
31.2,48.6,1648,Wet
30.9,48.5,1332,Wet
29.9,50.5,1553,Wet
29.5,53.5,1407,Wet
32.0,47.1,4095,Dry
32.1,47.5,4095,Dry
32.1,48.6,4095,Dry
32.5,47.4,4095,Dry
32.5,45.1,4095,Dry
32.7,46.9,4095,Dry
32.8,45.2,4095,Dry
33.5,44.1,4095,Dry
34.0,44.2,4095,Dry
36.0,39.2,4095,Dry
37.5,36.6,2067,Wet
37.0,35.7,1777,Wet
36.0,39.1,4095,Dry
36.3,36.7,2015,Wet
36.5,37.1,1595,Wet
37.3,33.6,1918,Wet
33.8,42.2,1994,Wet
34.4,41.2,2438,Wet
34.4,38.4,3968,Dry
34.0,38.4,3968,Dry
33.8,38.3,3970,Dry
33.8,40.38,3940,Dry
33.6,41.2,4095,Dry
33.0,46.1,3967,Dry
32.9,48.2,3958,Dry
33.1,45.2,2953,Wet
33.3,45.0,2928,Wet
36.0,40.0,2317,Wet
37.9,36.3,2554,Wet
38.5,33.1,1342,Wet
38.1,33.9,1390,Wet
38.0,34.8,1443,Wet
37.8,35.6,1456,Wet
37.8,36.4,1470,Wet
36.2,38.0,2257,Wet
34.0,39.7,2280,Wet
34.5,40.4,2300,Wet
34.0,41.3,2559,Wet
33.0,41.4,2560,Wet
33.9,41.8,1773,Wet
34.0,42.3,1899,Wet
33.9,33.9,3445,Dry
33.0,42.4,1557,Wet
34.0,41.7,1601,Wet
33.5,42.0,1654,Wet
33.6,42.7,1798,Wet
34.0,43.5,2642,Wet
33.96,42.4,2649,Wet
33.7,41.2,2678,Wet
33.5,40.7,1434,Wet
33.5,41.3,1760,Wet
33.4,41.6,1822,Wet
33.2,42.5,1970,Wet
33.0,42.0,3714,Dry
32.0,42.7,1430,Wet
32.8,42.88,816,Wet
32.7,43.0,961,Wet
32.9,43.1,1382,Wet
33.0,44.1,1222,Wet
33.1,44.1,1774,Wet
33.2,43.5,1475,Wet
33.1,43.7,1553,Wet
33.1,43.56,923,Wet
33.4,43.4,1383,Wet
33.5,42.6,1455,Wet
33.7,42.0,1042,Wet
36.0,40.8,4100,Dry
38.0,37.68,4095,Dry
38.5,30.0,1010,Wet
37.9,31.0,1100,Wet
37.5,32.7,1183,Wet
37.0,33.0,1232,Wet
36.8,34.0,1315,Wet
33.6,46.2,1602,Wet
33.5,44.5,1679,Wet
33.39,44.8,1711,Wet
33.1,49.1,1717,Wet
33.2,49.2,1725,Wet
33.3,53.6,2550,Wet
33.2,51.1,1968,Wet
33.0,48.7,1999,Wet
33.1,49.6,2020,Wet
33.1,57.8,2016,Wet
33.1,58.9,2024,Wet
33.2,60.1,2110,Wet
33.12,61.2,2040,Wet
33.4,60.0,2040,Wet
33.3,56.3,2060,Wet
33.4,59.4,2020,Wet
33.7,58.5,1779,Wet
33.6,52.6,1791,Wet
33.6,49.98,1799,Wet
33.5,49.5,1818,Wet
33.6,54.1,1808,Wet
33.8,50.1,1818,Wet
33.4,48.0,1808,Wet
33.7,46.5,1813,Wet
33.6,45.6,1565,Wet
33.7,45.6,1595,Wet
33.4,44.0,1510,Wet
33.56,47.0,1594,Wet
33.8,48.8,1598,Wet
33.9,45.9,1600,Wet
33.9,48.9,4095,Dry
33.9,45.5,2046,Wet
33.5,43.9,2118,Wet
33.4,46.1,2150,Wet
33.5,45.2,2176,Wet
33.4,47.9,2144,Wet
